"filename", "language", "TypeScript", "C++", "Markdown", "comment", "blank", "total"
"c:\Users\QIANG\dev\sktest\src\pathops\README.md", "Markdown", 0, 0, 1, 0, 1, 2
"c:\Users\QIANG\dev\sktest\src\pathops\sk-add-intersections.ts", "TypeScript", 270, 0, 0, 64, 1, 335
"c:\Users\QIANG\dev\sktest\src\pathops\sk-intersection-helper.ts", "TypeScript", 80, 0, 0, 2, 24, 106
"c:\Users\QIANG\dev\sktest\src\pathops\sk-intersections.ts", "TypeScript", 282, 0, 0, 64, 89, 435
"c:\Users\QIANG\dev\sktest\src\pathops\sk-line-parameters.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"c:\Users\QIANG\dev\sktest\src\pathops\sk-reduce-order.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"c:\Users\QIANG\dev\sktest\src\pathops\skd-conic-line-intersection.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"c:\Users\QIANG\dev\sktest\src\pathops\skd-cubic-line-intersection.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"c:\Users\QIANG\dev\sktest\src\pathops\skd-cubic-to-quads.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"c:\Users\QIANG\dev\sktest\src\pathops\skd-line-intersection.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"c:\Users\QIANG\dev\sktest\src\pathops\skd-quad-line-intersection.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"c:\Users\QIANG\dev\sktest\src\pathops\skop-angle.ts", "TypeScript", 957, 0, 0, 174, 33, 1164
"c:\Users\QIANG\dev\sktest\src\pathops\skop-builder.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"c:\Users\QIANG\dev\sktest\src\pathops\skop-coincidence.ts", "TypeScript", 2, 0, 0, 0, 2, 4
"c:\Users\QIANG\dev\sktest\src\pathops\skop-contour.ts", "TypeScript", 277, 0, 0, 42, 72, 391
"c:\Users\QIANG\dev\sktest\src\pathops\skop-cubic-hull.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"c:\Users\QIANG\dev\sktest\src\pathops\skop-edge-builder.ts", "TypeScript", 46, 0, 0, 1, 14, 61
"c:\Users\QIANG\dev\sktest\src\pathops\skop-segment.ts", "TypeScript", 427, 0, 0, 26, 139, 592
"c:\Users\QIANG\dev\sktest\src\pathops\skop-span.ts", "TypeScript", 685, 0, 0, 160, 100, 945
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-as-winding.cpp", "C++", 0, 0, 0, 0, 1, 1
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-bounds.ts", "TypeScript", 43, 0, 0, 4, 6, 53
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-common.ts", "TypeScript", 6, 0, 0, 0, 4, 10
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-conic.ts", "TypeScript", 117, 0, 0, 32, 54, 203
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-cubic.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-curve.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-debug.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-line.ts", "TypeScript", 27, 0, 0, 5, 14, 46
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-op.ts", "TypeScript", 281, 0, 0, 23, 22, 326
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-point.ts", "TypeScript", 1, 0, 0, 0, 1, 2
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-quad.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-rect.ts", "TypeScript", 1, 0, 0, 0, 0, 1
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-simplify.ts", "TypeScript", 155, 0, 0, 9, 14, 178
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-t-curve.ts", "TypeScript", 23, 0, 0, 12, 3, 38
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-t-sect.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-tight-bounds.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-types.ts", "TypeScript", 351, 0, 0, 103, 94, 548
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-winding.ts", "TypeScript", 17, 0, 0, 1, 3, 21
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops.ts", "TypeScript", 7, 0, 0, 3, 2, 12
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ref.ts", "TypeScript", 34, 0, 0, 0, 7, 41
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-types.ts", "TypeScript", 44, 0, 0, 6, 8, 58
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-writer.ts", "TypeScript", 4, 0, 0, 0, 3, 7
"c:\Users\QIANG\dev\sktest\src\pathops\skpath.ts", "TypeScript", 66, 0, 0, 126, 23, 215
"c:\Users\QIANG\dev\sktest\src\pathops\skpoint.ts", "TypeScript", 34, 0, 0, 0, 4, 38
"c:\Users\QIANG\dev\sktest\src\pathops\skrect.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"Total", "-", 4247, 0, 1, 857, 755, 5860
