"filename", "language", "Markdown", "TypeScript", "C++", "comment", "blank", "total"
"c:\Users\QIANG\dev\sktest\src\pathops\README.md", "Markdown", 1, 0, 0, 0, 1, 2
"c:\Users\QIANG\dev\sktest\src\pathops\sk-add-intersections.ts", "TypeScript", 0, 272, 0, 64, 1, 337
"c:\Users\QIANG\dev\sktest\src\pathops\sk-intersection-helper.ts", "TypeScript", 0, 80, 0, 2, 24, 106
"c:\Users\QIANG\dev\sktest\src\pathops\sk-intersections.ts", "TypeScript", 0, 282, 0, 64, 89, 435
"c:\Users\QIANG\dev\sktest\src\pathops\sk-line-parameters.ts", "TypeScript", 0, 131, 0, 4, 18, 153
"c:\Users\QIANG\dev\sktest\src\pathops\sk-reduce-order.ts", "TypeScript", 0, 27, 0, 0, 10, 37
"c:\Users\QIANG\dev\sktest\src\pathops\skd-conic-line-intersection.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"c:\Users\QIANG\dev\sktest\src\pathops\skd-cubic-line-intersection.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"c:\Users\QIANG\dev\sktest\src\pathops\skd-cubic-to-quads.ts", "TypeScript", 0, 0, 0, 21, 3, 24
"c:\Users\QIANG\dev\sktest\src\pathops\skd-line-intersection.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"c:\Users\QIANG\dev\sktest\src\pathops\skd-quad-line-intersection.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"c:\Users\QIANG\dev\sktest\src\pathops\skop-angle.ts", "TypeScript", 0, 957, 0, 174, 33, 1164
"c:\Users\QIANG\dev\sktest\src\pathops\skop-builder.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"c:\Users\QIANG\dev\sktest\src\pathops\skop-coincidence.ts", "TypeScript", 0, 2, 0, 0, 2, 4
"c:\Users\QIANG\dev\sktest\src\pathops\skop-contour.ts", "TypeScript", 0, 277, 0, 42, 72, 391
"c:\Users\QIANG\dev\sktest\src\pathops\skop-cubic-hull.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"c:\Users\QIANG\dev\sktest\src\pathops\skop-edge-builder.ts", "TypeScript", 0, 46, 0, 1, 14, 61
"c:\Users\QIANG\dev\sktest\src\pathops\skop-segment.ts", "TypeScript", 0, 427, 0, 26, 139, 592
"c:\Users\QIANG\dev\sktest\src\pathops\skop-span.ts", "TypeScript", 0, 685, 0, 160, 100, 945
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-as-winding.cpp", "C++", 0, 0, 0, 0, 1, 1
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-bounds.ts", "TypeScript", 0, 43, 0, 4, 6, 53
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-common.ts", "TypeScript", 0, 6, 0, 0, 4, 10
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-conic.ts", "TypeScript", 0, 117, 0, 32, 54, 203
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-cubic.ts", "TypeScript", 0, 174, 0, 89, 78, 341
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-curve.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-line.ts", "TypeScript", 0, 27, 0, 5, 14, 46
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-op.ts", "TypeScript", 0, 281, 0, 23, 22, 326
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-point.ts", "TypeScript", 0, 1, 0, 0, 1, 2
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-quad.ts", "TypeScript", 0, 134, 0, 37, 58, 229
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-rect.ts", "TypeScript", 0, 1, 0, 0, 0, 1
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-simplify.ts", "TypeScript", 0, 158, 0, 12, 13, 183
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-t-curve.ts", "TypeScript", 0, 26, 0, 12, 3, 41
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-t-sect.ts", "TypeScript", 0, 224, 0, 74, 68, 366
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-tight-bounds.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-types.ts", "TypeScript", 0, 351, 0, 103, 94, 548
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-winding.ts", "TypeScript", 0, 17, 0, 1, 3, 21
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops.ts", "TypeScript", 0, 7, 0, 3, 2, 12
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ref.ts", "TypeScript", 0, 34, 0, 0, 7, 41
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-types.ts", "TypeScript", 0, 44, 0, 6, 8, 58
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-writer.ts", "TypeScript", 0, 4, 0, 0, 3, 7
"c:\Users\QIANG\dev\sktest\src\pathops\skpath.ts", "TypeScript", 0, 66, 0, 126, 23, 215
"c:\Users\QIANG\dev\sktest\src\pathops\skpoint.ts", "TypeScript", 0, 34, 0, 0, 4, 38
"c:\Users\QIANG\dev\sktest\src\pathops\skrect.ts", "TypeScript", 0, 10, 0, 0, 2, 12
"Total", "-", 1, 4945, 0, 1085, 982, 7013
