"filename", "language", "TypeScript", "C++", "comment", "blank", "total"
"c:\Users\QIANG\dev\sktest\src\pathops\sk-intersections.ts", "TypeScript", -18, 0, 3, -25, -40
"c:\Users\QIANG\dev\sktest\src\pathops\sk-line-parameters.ts", "TypeScript", 1, 0, 6, 0, 7
"c:\Users\QIANG\dev\sktest\src\pathops\sk-reduce-order.ts", "TypeScript", -1, 0, 0, -1, -2
"c:\Users\QIANG\dev\sktest\src\pathops\skd-conic-line-intersection.ts", "TypeScript", 342, 0, 3, 29, 374
"c:\Users\QIANG\dev\sktest\src\pathops\skd-cubic-line-intersection.ts", "TypeScript", 343, 0, 72, 29, 444
"c:\Users\QIANG\dev\sktest\src\pathops\skd-line-intersection.ts", "TypeScript", 282, 0, 36, 9, 327
"c:\Users\QIANG\dev\sktest\src\pathops\skd-quad-line-intersection.ts", "TypeScript", 333, 0, 95, 32, 460
"c:\Users\QIANG\dev\sktest\src\pathops\skop-builder.ts", "TypeScript", 171, 0, 7, 5, 183
"c:\Users\QIANG\dev\sktest\src\pathops\skop-coincidence.ts", "TypeScript", 238, 0, 5, 39, 282
"c:\Users\QIANG\dev\sktest\src\pathops\skop-cubic-hull.ts", "TypeScript", 119, 0, 19, 4, 142
"c:\Users\QIANG\dev\sktest\src\pathops\skop-segment.ts", "TypeScript", 1, 0, 0, 0, 1
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-as-winding.cpp", "C++", 0, 0, 0, -1, -1
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-as-winding.ts", "TypeScript", 362, 0, 26, 21, 409
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-conic.ts", "TypeScript", 1, 0, 0, 0, 1
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-cubic.ts", "TypeScript", 3, 0, 0, 0, 3
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-curve.ts", "TypeScript", 334, 0, 0, 68, 402
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-op.ts", "TypeScript", 1, 0, 0, 0, 1
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-t-sect.ts", "TypeScript", 8, 0, 12, 21, 41
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-tight-bounds.ts", "TypeScript", 60, 0, 1, 0, 61
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-writer.ts", "TypeScript", 27, 0, 0, 2, 29
"Total", "-", 2607, 0, 285, 232, 3124
