"filename", "language", "TypeScript", "Markdown", "comment", "blank", "total"
"c:\Users\QIANG\dev\sktest\src\pathops\README.md", "Markdown", 0, 1, 0, 1, 2
"c:\Users\QIANG\dev\sktest\src\pathops\sk-add-intersections.ts", "TypeScript", 272, 0, 64, 1, 337
"c:\Users\QIANG\dev\sktest\src\pathops\sk-intersection-helper.ts", "TypeScript", 80, 0, 2, 24, 106
"c:\Users\QIANG\dev\sktest\src\pathops\sk-intersections.ts", "TypeScript", 264, 0, 67, 64, 395
"c:\Users\QIANG\dev\sktest\src\pathops\sk-line-parameters.ts", "TypeScript", 132, 0, 10, 18, 160
"c:\Users\QIANG\dev\sktest\src\pathops\sk-reduce-order.ts", "TypeScript", 26, 0, 0, 9, 35
"c:\Users\QIANG\dev\sktest\src\pathops\skd-conic-line-intersection.ts", "TypeScript", 342, 0, 3, 30, 375
"c:\Users\QIANG\dev\sktest\src\pathops\skd-cubic-line-intersection.ts", "TypeScript", 343, 0, 72, 30, 445
"c:\Users\QIANG\dev\sktest\src\pathops\skd-cubic-to-quads.ts", "TypeScript", 0, 0, 21, 3, 24
"c:\Users\QIANG\dev\sktest\src\pathops\skd-line-intersection.ts", "TypeScript", 282, 0, 36, 10, 328
"c:\Users\QIANG\dev\sktest\src\pathops\skd-quad-line-intersection.ts", "TypeScript", 333, 0, 95, 33, 461
"c:\Users\QIANG\dev\sktest\src\pathops\skop-angle.ts", "TypeScript", 957, 0, 174, 33, 1164
"c:\Users\QIANG\dev\sktest\src\pathops\skop-builder.ts", "TypeScript", 171, 0, 7, 6, 184
"c:\Users\QIANG\dev\sktest\src\pathops\skop-coincidence.ts", "TypeScript", 240, 0, 5, 41, 286
"c:\Users\QIANG\dev\sktest\src\pathops\skop-contour.ts", "TypeScript", 277, 0, 42, 72, 391
"c:\Users\QIANG\dev\sktest\src\pathops\skop-cubic-hull.ts", "TypeScript", 119, 0, 19, 5, 143
"c:\Users\QIANG\dev\sktest\src\pathops\skop-edge-builder.ts", "TypeScript", 46, 0, 1, 14, 61
"c:\Users\QIANG\dev\sktest\src\pathops\skop-segment.ts", "TypeScript", 428, 0, 26, 139, 593
"c:\Users\QIANG\dev\sktest\src\pathops\skop-span.ts", "TypeScript", 685, 0, 160, 100, 945
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-as-winding.ts", "TypeScript", 362, 0, 26, 21, 409
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-bounds.ts", "TypeScript", 43, 0, 4, 6, 53
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-common.ts", "TypeScript", 6, 0, 0, 4, 10
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-conic.ts", "TypeScript", 118, 0, 32, 54, 204
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-cubic.ts", "TypeScript", 177, 0, 89, 78, 344
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-curve.ts", "TypeScript", 334, 0, 0, 69, 403
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-line.ts", "TypeScript", 27, 0, 5, 14, 46
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-op.ts", "TypeScript", 282, 0, 23, 22, 327
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-point.ts", "TypeScript", 1, 0, 0, 1, 2
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-quad.ts", "TypeScript", 134, 0, 37, 58, 229
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-rect.ts", "TypeScript", 1, 0, 0, 0, 1
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-simplify.ts", "TypeScript", 158, 0, 12, 13, 183
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-t-curve.ts", "TypeScript", 26, 0, 12, 3, 41
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-t-sect.ts", "TypeScript", 232, 0, 86, 89, 407
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-tight-bounds.ts", "TypeScript", 60, 0, 1, 1, 62
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-types.ts", "TypeScript", 351, 0, 103, 94, 548
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops-winding.ts", "TypeScript", 17, 0, 1, 3, 21
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ops.ts", "TypeScript", 7, 0, 3, 2, 12
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-ref.ts", "TypeScript", 34, 0, 0, 7, 41
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-types.ts", "TypeScript", 44, 0, 6, 8, 58
"c:\Users\QIANG\dev\sktest\src\pathops\skpath-writer.ts", "TypeScript", 31, 0, 0, 5, 36
"c:\Users\QIANG\dev\sktest\src\pathops\skpath.ts", "TypeScript", 66, 0, 126, 23, 215
"c:\Users\QIANG\dev\sktest\src\pathops\skpoint.ts", "TypeScript", 34, 0, 0, 4, 38
"c:\Users\QIANG\dev\sktest\src\pathops\skrect.ts", "TypeScript", 10, 0, 0, 2, 12
"Total", "-", 7552, 1, 1370, 1214, 10137
